Date: 2025-08-14, Hour: 09:00, Room: Living Room, Sensor: Temperature Sensor, Value: 21.49°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:10, Room: Bedroom, Sensor: Humidity Sensor, Value: %52.13, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:15, Room: Living Room, Sensor: Temperature Sensor, Value: 20.47°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:15, Room: Kitchen, Sensor: Temperature Sensor, Value: 20.63°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:15, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.6°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:15, Room: Living Room, Sensor: Humidity Sensor, Value: %50.14, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:15, Room: Kitchen, Sensor: Humidity Sensor, Value: %49.28, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:15, Room: Bedroom, Sensor: Humidity Sensor, Value: %50.1, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:20, Room: Living Room, Sensor: Temperature Sensor, Value: 20.74°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:20, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.08°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:20, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.51°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:20, Room: Living Room, Sensor: Humidity Sensor, Value: %50.04, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:20, Room: Kitchen, Sensor: Humidity Sensor, Value: %51.55, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:20, Room: Bedroom, Sensor: Humidity Sensor, Value: %50.19, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:25, Room: Living Room, Sensor: Temperature Sensor, Value: 21.06°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:25, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.03°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:25, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.82°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:25, Room: Living Room, Sensor: Humidity Sensor, Value: %52.05, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:25, Room: Kitchen, Sensor: Humidity Sensor, Value: %51.05, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:25, Room: Bedroom, Sensor: Humidity Sensor, Value: %48.08, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:30, Room: Living Room, Sensor: Temperature Sensor, Value: 20.7°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:30, Room: Kitchen, Sensor: Temperature Sensor, Value: 20.56°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:30, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.1°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:30, Room: Living Room, Sensor: Humidity Sensor, Value: %50.05, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:30, Room: Kitchen, Sensor: Humidity Sensor, Value: %51.9, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:30, Room: Bedroom, Sensor: Humidity Sensor, Value: %50.99, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:35, Room: Living Room, Sensor: Temperature Sensor, Value: 20.35°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:35, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.02°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:35, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.97°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:35, Room: Living Room, Sensor: Humidity Sensor, Value: %49.23, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:35, Room: Kitchen, Sensor: Humidity Sensor, Value: %48.07, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:35, Room: Bedroom, Sensor: Humidity Sensor, Value: %48.86, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:40, Room: Living Room, Sensor: Temperature Sensor, Value: 21.92°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:40, Room: Kitchen, Sensor: Temperature Sensor, Value: 20.93°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:40, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.43°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:40, Room: Living Room, Sensor: Humidity Sensor, Value: %51.08, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:40, Room: Kitchen, Sensor: Humidity Sensor, Value: %50.43, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:40, Room: Bedroom, Sensor: Humidity Sensor, Value: %47.94, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:45, Room: Living Room, Sensor: Temperature Sensor, Value: 21.7°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:45, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.07°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:45, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.06°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:45, Room: Living Room, Sensor: Humidity Sensor, Value: %50.56, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:45, Room: Kitchen, Sensor: Humidity Sensor, Value: %51.77, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:45, Room: Bedroom, Sensor: Humidity Sensor, Value: %51.01, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:50, Room: Living Room, Sensor: Temperature Sensor, Value: 20.85°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:50, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.11°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:50, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.72°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:50, Room: Living Room, Sensor: Humidity Sensor, Value: %49.59, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:50, Room: Kitchen, Sensor: Humidity Sensor, Value: %51.29, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:50, Room: Bedroom, Sensor: Humidity Sensor, Value: %49.7, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:55, Room: Living Room, Sensor: Temperature Sensor, Value: 21.34°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:55, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.5°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:55, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.02°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:55, Room: Living Room, Sensor: Humidity Sensor, Value: %49.83, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:55, Room: Kitchen, Sensor: Humidity Sensor, Value: %48.67, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:55, Room: Bedroom, Sensor: Humidity Sensor, Value: %51.03, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:00, Room: Living Room, Sensor: Temperature Sensor, Value: 23.07°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:00, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.49°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:00, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.63°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:00, Room: Living Room, Sensor: Humidity Sensor, Value: %58.45, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:00, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.12, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:00, Room: Bedroom, Sensor: Humidity Sensor, Value: %56.88, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:05, Room: Living Room, Sensor: Temperature Sensor, Value: 23.25°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:05, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.49°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:05, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.55°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:05, Room: Living Room, Sensor: Humidity Sensor, Value: %57.8, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:05, Room: Kitchen, Sensor: Humidity Sensor, Value: %57.01, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:05, Room: Bedroom, Sensor: Humidity Sensor, Value: %55.62, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:10, Room: Living Room, Sensor: Temperature Sensor, Value: 21.67°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:10, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.58°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:10, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.85°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:10, Room: Living Room, Sensor: Humidity Sensor, Value: %59.67, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:10, Room: Kitchen, Sensor: Humidity Sensor, Value: %56.19, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:10, Room: Bedroom, Sensor: Humidity Sensor, Value: %58.83, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:15, Room: Living Room, Sensor: Temperature Sensor, Value: 22.78°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:15, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.12°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:15, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.19°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:15, Room: Living Room, Sensor: Humidity Sensor, Value: %60.18, Status: High Humidity
Date: 2025-08-14, Hour: 10:15, Room: Kitchen, Sensor: Humidity Sensor, Value: %59.83, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:15, Room: Bedroom, Sensor: Humidity Sensor, Value: %59.4, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:20, Room: Living Room, Sensor: Temperature Sensor, Value: 22.01°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:20, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.35°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:20, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.6°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:20, Room: Living Room, Sensor: Humidity Sensor, Value: %57.32, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:20, Room: Kitchen, Sensor: Humidity Sensor, Value: %57.58, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:20, Room: Bedroom, Sensor: Humidity Sensor, Value: %58.46, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:25, Room: Living Room, Sensor: Temperature Sensor, Value: 22.85°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:25, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.26°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:25, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.89°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:25, Room: Living Room, Sensor: Humidity Sensor, Value: %57.08, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:25, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.76, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:25, Room: Bedroom, Sensor: Humidity Sensor, Value: %56.08, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:30, Room: Living Room, Sensor: Temperature Sensor, Value: 22.8°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:30, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.49°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:30, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.81°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:30, Room: Living Room, Sensor: Humidity Sensor, Value: %57.7, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:30, Room: Kitchen, Sensor: Humidity Sensor, Value: %60.6, Status: High Humidity
Date: 2025-08-14, Hour: 10:30, Room: Bedroom, Sensor: Humidity Sensor, Value: %57.68, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:35, Room: Living Room, Sensor: Temperature Sensor, Value: 21.83°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:35, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.47°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:35, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.02°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:35, Room: Living Room, Sensor: Humidity Sensor, Value: %55.97, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:35, Room: Kitchen, Sensor: Humidity Sensor, Value: %56.78, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:35, Room: Bedroom, Sensor: Humidity Sensor, Value: %56.22, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:40, Room: Living Room, Sensor: Temperature Sensor, Value: 22.77°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:40, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.86°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:40, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.59°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:40, Room: Living Room, Sensor: Humidity Sensor, Value: %59.22, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:40, Room: Kitchen, Sensor: Humidity Sensor, Value: %59.42, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:40, Room: Bedroom, Sensor: Humidity Sensor, Value: %58.82, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:45, Room: Living Room, Sensor: Temperature Sensor, Value: 21.79°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:45, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.45°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:45, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.05°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:45, Room: Living Room, Sensor: Humidity Sensor, Value: %59.87, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:45, Room: Kitchen, Sensor: Humidity Sensor, Value: %56.49, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:45, Room: Bedroom, Sensor: Humidity Sensor, Value: %55.89, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:50, Room: Living Room, Sensor: Temperature Sensor, Value: 22.75°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:50, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.65°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:50, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.16°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:50, Room: Living Room, Sensor: Humidity Sensor, Value: %56.97, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:50, Room: Kitchen, Sensor: Humidity Sensor, Value: %56.25, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:50, Room: Bedroom, Sensor: Humidity Sensor, Value: %56.07, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:55, Room: Living Room, Sensor: Temperature Sensor, Value: 23.35°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:55, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.58°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 10:55, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.74°C, Status: High Temperature
Date: 2025-08-14, Hour: 10:55, Room: Living Room, Sensor: Humidity Sensor, Value: %60.22, Status: High Humidity
Date: 2025-08-14, Hour: 10:55, Room: Kitchen, Sensor: Humidity Sensor, Value: %57.38, Status: Normal Humidity
Date: 2025-08-14, Hour: 10:55, Room: Bedroom, Sensor: Humidity Sensor, Value: %57.41, Status: Normal Humidity
Date: 2025-08-14, Hour: 11:00, Room: Living Room, Sensor: Temperature Sensor, Value: 24.64°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:00, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.09°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:00, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.85°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:00, Room: Living Room, Sensor: Humidity Sensor, Value: %67.56, Status: High Humidity
Date: 2025-08-14, Hour: 11:00, Room: Kitchen, Sensor: Humidity Sensor, Value: %67.31, Status: High Humidity
Date: 2025-08-14, Hour: 11:00, Room: Bedroom, Sensor: Humidity Sensor, Value: %67.54, Status: High Humidity
Date: 2025-08-14, Hour: 11:05, Room: Living Room, Sensor: Temperature Sensor, Value: 24.4°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:05, Room: Kitchen, Sensor: Temperature Sensor, Value: 25.08°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:05, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.83°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:05, Room: Living Room, Sensor: Humidity Sensor, Value: %62.05, Status: High Humidity
Date: 2025-08-14, Hour: 11:05, Room: Kitchen, Sensor: Humidity Sensor, Value: %65.53, Status: High Humidity
Date: 2025-08-14, Hour: 11:05, Room: Bedroom, Sensor: Humidity Sensor, Value: %65.13, Status: High Humidity
Date: 2025-08-14, Hour: 11:10, Room: Living Room, Sensor: Temperature Sensor, Value: 23.1°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:10, Room: Kitchen, Sensor: Temperature Sensor, Value: 25.18°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:10, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.91°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:10, Room: Living Room, Sensor: Humidity Sensor, Value: %65.6, Status: High Humidity
Date: 2025-08-14, Hour: 11:10, Room: Kitchen, Sensor: Humidity Sensor, Value: %63.34, Status: High Humidity
Date: 2025-08-14, Hour: 11:10, Room: Bedroom, Sensor: Humidity Sensor, Value: %66.09, Status: High Humidity
Date: 2025-08-14, Hour: 11:15, Room: Living Room, Sensor: Temperature Sensor, Value: 24.32°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:15, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.98°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:15, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.61°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:15, Room: Living Room, Sensor: Humidity Sensor, Value: %64.17, Status: High Humidity
Date: 2025-08-14, Hour: 11:15, Room: Kitchen, Sensor: Humidity Sensor, Value: %65.56, Status: High Humidity
Date: 2025-08-14, Hour: 11:15, Room: Bedroom, Sensor: Humidity Sensor, Value: %64.07, Status: High Humidity
Date: 2025-08-14, Hour: 11:20, Room: Living Room, Sensor: Temperature Sensor, Value: 23.32°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:20, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.67°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:20, Room: Bedroom, Sensor: Temperature Sensor, Value: 25.06°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:20, Room: Living Room, Sensor: Humidity Sensor, Value: %67.41, Status: High Humidity
Date: 2025-08-14, Hour: 11:20, Room: Kitchen, Sensor: Humidity Sensor, Value: %65.76, Status: High Humidity
Date: 2025-08-14, Hour: 11:20, Room: Bedroom, Sensor: Humidity Sensor, Value: %62.98, Status: High Humidity
Date: 2025-08-14, Hour: 11:25, Room: Living Room, Sensor: Temperature Sensor, Value: 25.18°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:25, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.91°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:25, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.49°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:25, Room: Living Room, Sensor: Humidity Sensor, Value: %67.59, Status: High Humidity
Date: 2025-08-14, Hour: 11:25, Room: Kitchen, Sensor: Humidity Sensor, Value: %61.8, Status: High Humidity
Date: 2025-08-14, Hour: 11:25, Room: Bedroom, Sensor: Humidity Sensor, Value: %62.54, Status: High Humidity
Date: 2025-08-14, Hour: 11:30, Room: Living Room, Sensor: Temperature Sensor, Value: 24.41°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:30, Room: Kitchen, Sensor: Temperature Sensor, Value: 25.06°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:30, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.94°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:30, Room: Living Room, Sensor: Humidity Sensor, Value: %63.38, Status: High Humidity
Date: 2025-08-14, Hour: 11:30, Room: Kitchen, Sensor: Humidity Sensor, Value: %67.74, Status: High Humidity
Date: 2025-08-14, Hour: 11:30, Room: Bedroom, Sensor: Humidity Sensor, Value: %65.0, Status: High Humidity
Date: 2025-08-14, Hour: 11:35, Room: Living Room, Sensor: Temperature Sensor, Value: 23.75°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:35, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.89°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:35, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.34°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:35, Room: Living Room, Sensor: Humidity Sensor, Value: %62.35, Status: High Humidity
Date: 2025-08-14, Hour: 11:35, Room: Kitchen, Sensor: Humidity Sensor, Value: %67.26, Status: High Humidity
Date: 2025-08-14, Hour: 11:35, Room: Bedroom, Sensor: Humidity Sensor, Value: %67.22, Status: High Humidity
Date: 2025-08-14, Hour: 11:40, Room: Living Room, Sensor: Temperature Sensor, Value: 24.14°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:40, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.84°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:40, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.43°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:40, Room: Living Room, Sensor: Humidity Sensor, Value: %65.79, Status: High Humidity
Date: 2025-08-14, Hour: 11:40, Room: Kitchen, Sensor: Humidity Sensor, Value: %63.95, Status: High Humidity
Date: 2025-08-14, Hour: 11:40, Room: Bedroom, Sensor: Humidity Sensor, Value: %63.81, Status: High Humidity
Date: 2025-08-14, Hour: 11:45, Room: Living Room, Sensor: Temperature Sensor, Value: 24.64°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:45, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.36°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:45, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.35°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:45, Room: Living Room, Sensor: Humidity Sensor, Value: %66.43, Status: High Humidity
Date: 2025-08-14, Hour: 11:45, Room: Kitchen, Sensor: Humidity Sensor, Value: %64.56, Status: High Humidity
Date: 2025-08-14, Hour: 11:45, Room: Bedroom, Sensor: Humidity Sensor, Value: %62.83, Status: High Humidity
Date: 2025-08-14, Hour: 11:50, Room: Living Room, Sensor: Temperature Sensor, Value: 23.14°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:50, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.61°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:50, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.54°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:50, Room: Living Room, Sensor: Humidity Sensor, Value: %62.6, Status: High Humidity
Date: 2025-08-14, Hour: 11:50, Room: Kitchen, Sensor: Humidity Sensor, Value: %63.99, Status: High Humidity
Date: 2025-08-14, Hour: 11:50, Room: Bedroom, Sensor: Humidity Sensor, Value: %63.42, Status: High Humidity
Date: 2025-08-14, Hour: 11:55, Room: Living Room, Sensor: Temperature Sensor, Value: 23.85°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:55, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.49°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:55, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.81°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 11:55, Room: Living Room, Sensor: Humidity Sensor, Value: %67.43, Status: High Humidity
Date: 2025-08-14, Hour: 11:55, Room: Kitchen, Sensor: Humidity Sensor, Value: %64.87, Status: High Humidity
Date: 2025-08-14, Hour: 11:55, Room: Bedroom, Sensor: Humidity Sensor, Value: %62.13, Status: High Humidity
Date: 2025-08-14, Hour: 12:00, Room: Living Room, Sensor: Temperature Sensor, Value: 24.59°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 12:00, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.47°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 12:00, Room: Bedroom, Sensor: Temperature Sensor, Value: 25.09°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 12:00, Room: Living Room, Sensor: Humidity Sensor, Value: %68.7, Status: High Humidity
Date: 2025-08-14, Hour: 12:00, Room: Kitchen, Sensor: Humidity Sensor, Value: %73.1, Status: High Humidity
Date: 2025-08-14, Hour: 12:00, Room: Bedroom, Sensor: Humidity Sensor, Value: %71.38, Status: High Humidity
Date: 2025-08-14, Hour: 12:05, Room: Living Room, Sensor: Temperature Sensor, Value: 26.23°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 12:05, Room: Kitchen, Sensor: Temperature Sensor, Value: 25.94°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 12:05, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.3°C, Status: Normal Temperature
