Date,Hour,Sensor,Room,Sensor Value,Sensor Unit,Room Status
2025-08-14,09:25,Humidity Sensor,Kitchen,51.05,%,Normal Humidity
2025-08-14,09:25,Humidity Sensor,Bedroom,48.08,%,Normal Humidity
2025-08-14,09:30,Temperature Sensor,Living Room,20.7,°C,High Temperature
2025-08-14,09:30,Temperature Sensor,Kitchen,20.56,°C,High Temperature
2025-08-14,09:30,Temperature Sensor,Bedroom,20.1,°C,High Temperature
2025-08-14,09:30,Humidity Sensor,Living Room,50.05,%,Normal Humidity
2025-08-14,09:30,Humidity Sensor,Kitchen,51.9,%,Normal Humidity
2025-08-14,09:30,Humidity Sensor,Bedroom,50.99,%,Normal Humidity
2025-08-14,09:35,Temperature Sensor,Living Room,20.35,°C,High Temperature
2025-08-14,09:35,Temperature Sensor,Kitchen,21.02,°C,High Temperature
2025-08-14,09:35,Temperature Sensor,Bedroom,20.97,°C,High Temperature
2025-08-14,09:35,Humidity Sensor,Living Room,49.23,%,Normal Humidity
2025-08-14,09:35,Humidity Sensor,Kitchen,48.07,%,Normal Humidity
2025-08-14,09:35,Humidity Sensor,Bedroom,48.86,%,Normal Humidity
2025-08-14,09:40,Temperature Sensor,Living Room,21.92,°C,High Temperature
2025-08-14,09:40,Temperature Sensor,Kitchen,20.93,°C,High Temperature
2025-08-14,09:40,Temperature Sensor,Bedroom,21.43,°C,High Temperature
2025-08-14,09:40,Humidity Sensor,Living Room,51.08,%,Normal Humidity
2025-08-14,09:40,Humidity Sensor,Kitchen,50.43,%,Normal Humidity
2025-08-14,09:40,Humidity Sensor,Bedroom,47.94,%,Normal Humidity
2025-08-14,09:45,Temperature Sensor,Living Room,21.7,°C,High Temperature
2025-08-14,09:45,Temperature Sensor,Kitchen,21.07,°C,High Temperature
2025-08-14,09:45,Temperature Sensor,Bedroom,21.06,°C,High Temperature
2025-08-14,09:45,Humidity Sensor,Living Room,50.56,%,Normal Humidity
2025-08-14,09:45,Humidity Sensor,Kitchen,51.77,%,Normal Humidity
2025-08-14,09:45,Humidity Sensor,Bedroom,51.01,%,Normal Humidity
2025-08-14,09:50,Temperature Sensor,Living Room,20.85,°C,High Temperature
2025-08-14,09:50,Temperature Sensor,Kitchen,21.11,°C,High Temperature
2025-08-14,09:50,Temperature Sensor,Bedroom,21.72,°C,High Temperature
2025-08-14,09:50,Humidity Sensor,Living Room,49.59,%,Normal Humidity
2025-08-14,09:50,Humidity Sensor,Kitchen,51.29,%,Normal Humidity
2025-08-14,09:50,Humidity Sensor,Bedroom,49.7,%,Normal Humidity
2025-08-14,09:55,Temperature Sensor,Living Room,21.34,°C,High Temperature
2025-08-14,09:55,Temperature Sensor,Kitchen,21.5,°C,High Temperature
2025-08-14,09:55,Temperature Sensor,Bedroom,20.02,°C,High Temperature
2025-08-14,09:55,Humidity Sensor,Living Room,49.83,%,Normal Humidity
2025-08-14,09:55,Humidity Sensor,Kitchen,48.67,%,Normal Humidity
2025-08-14,09:55,Humidity Sensor,Bedroom,51.03,%,Normal Humidity
2025-08-14,10:00,Temperature Sensor,Living Room,23.07,°C,Normal Temperature
2025-08-14,10:00,Temperature Sensor,Kitchen,21.49,°C,High Temperature
2025-08-14,10:00,Temperature Sensor,Bedroom,23.63,°C,Normal Temperature
2025-08-14,10:00,Humidity Sensor,Living Room,58.45,%,Normal Humidity
2025-08-14,10:00,Humidity Sensor,Kitchen,55.12,%,Normal Humidity
2025-08-14,10:00,Humidity Sensor,Bedroom,56.88,%,Normal Humidity
2025-08-14,10:05,Temperature Sensor,Living Room,23.25,°C,Normal Temperature
2025-08-14,10:05,Temperature Sensor,Kitchen,22.49,°C,Normal Temperature
2025-08-14,10:05,Temperature Sensor,Bedroom,23.55,°C,Normal Temperature
2025-08-14,10:05,Humidity Sensor,Living Room,57.8,%,Normal Humidity
2025-08-14,10:05,Humidity Sensor,Kitchen,57.01,%,Normal Humidity
2025-08-14,10:05,Humidity Sensor,Bedroom,55.62,%,Normal Humidity
2025-08-14,10:10,Temperature Sensor,Living Room,21.67,°C,High Temperature
2025-08-14,10:10,Temperature Sensor,Kitchen,21.58,°C,High Temperature
2025-08-14,10:10,Temperature Sensor,Bedroom,22.85,°C,Normal Temperature
2025-08-14,10:10,Humidity Sensor,Living Room,59.67,%,Normal Humidity
2025-08-14,10:10,Humidity Sensor,Kitchen,56.19,%,Normal Humidity
2025-08-14,10:10,Humidity Sensor,Bedroom,58.83,%,Normal Humidity
2025-08-14,10:15,Temperature Sensor,Living Room,22.78,°C,Normal Temperature
2025-08-14,10:15,Temperature Sensor,Kitchen,23.12,°C,Normal Temperature
2025-08-14,10:15,Temperature Sensor,Bedroom,23.19,°C,Normal Temperature
2025-08-14,10:15,Humidity Sensor,Living Room,60.18,%,High Humidity
2025-08-14,10:15,Humidity Sensor,Kitchen,59.83,%,Normal Humidity
2025-08-14,10:15,Humidity Sensor,Bedroom,59.4,%,Normal Humidity
2025-08-14,10:20,Temperature Sensor,Living Room,22.01,°C,Normal Temperature
2025-08-14,10:20,Temperature Sensor,Kitchen,23.35,°C,Normal Temperature
2025-08-14,10:20,Temperature Sensor,Bedroom,23.6,°C,Normal Temperature
2025-08-14,10:20,Humidity Sensor,Living Room,57.32,%,Normal Humidity
2025-08-14,10:20,Humidity Sensor,Kitchen,57.58,%,Normal Humidity
2025-08-14,10:20,Humidity Sensor,Bedroom,58.46,%,Normal Humidity
2025-08-14,10:25,Temperature Sensor,Living Room,22.85,°C,Normal Temperature
2025-08-14,10:25,Temperature Sensor,Kitchen,22.26,°C,Normal Temperature
2025-08-14,10:25,Temperature Sensor,Bedroom,22.89,°C,Normal Temperature
2025-08-14,10:25,Humidity Sensor,Living Room,57.08,%,Normal Humidity
2025-08-14,10:25,Humidity Sensor,Kitchen,55.76,%,Normal Humidity
2025-08-14,10:25,Humidity Sensor,Bedroom,56.08,%,Normal Humidity
2025-08-14,10:30,Temperature Sensor,Living Room,22.8,°C,Normal Temperature
2025-08-14,10:30,Temperature Sensor,Kitchen,22.49,°C,Normal Temperature
2025-08-14,10:30,Temperature Sensor,Bedroom,22.81,°C,Normal Temperature
2025-08-14,10:30,Humidity Sensor,Living Room,57.7,%,Normal Humidity
2025-08-14,10:30,Humidity Sensor,Kitchen,60.6,%,High Humidity
2025-08-14,10:30,Humidity Sensor,Bedroom,57.68,%,Normal Humidity
2025-08-14,10:35,Temperature Sensor,Living Room,21.83,°C,High Temperature
2025-08-14,10:35,Temperature Sensor,Kitchen,23.47,°C,Normal Temperature
2025-08-14,10:35,Temperature Sensor,Bedroom,22.02,°C,Normal Temperature
2025-08-14,10:35,Humidity Sensor,Living Room,55.97,%,Normal Humidity
2025-08-14,10:35,Humidity Sensor,Kitchen,56.78,%,Normal Humidity
2025-08-14,10:35,Humidity Sensor,Bedroom,56.22,%,Normal Humidity
2025-08-14,10:40,Temperature Sensor,Living Room,22.77,°C,Normal Temperature
2025-08-14,10:40,Temperature Sensor,Kitchen,21.86,°C,High Temperature
2025-08-14,10:40,Temperature Sensor,Bedroom,21.59,°C,High Temperature
2025-08-14,10:40,Humidity Sensor,Living Room,59.22,%,Normal Humidity
2025-08-14,10:40,Humidity Sensor,Kitchen,59.42,%,Normal Humidity
2025-08-14,10:40,Humidity Sensor,Bedroom,58.82,%,Normal Humidity
2025-08-14,10:45,Temperature Sensor,Living Room,21.79,°C,High Temperature
2025-08-14,10:45,Temperature Sensor,Kitchen,21.45,°C,High Temperature
2025-08-14,10:45,Temperature Sensor,Bedroom,22.05,°C,Normal Temperature
2025-08-14,10:45,Humidity Sensor,Living Room,59.87,%,Normal Humidity
2025-08-14,10:45,Humidity Sensor,Kitchen,56.49,%,Normal Humidity
2025-08-14,10:45,Humidity Sensor,Bedroom,55.89,%,Normal Humidity
2025-08-14,10:50,Temperature Sensor,Living Room,22.75,°C,Normal Temperature
2025-08-14,10:50,Temperature Sensor,Kitchen,21.65,°C,High Temperature
2025-08-14,10:50,Temperature Sensor,Bedroom,23.16,°C,Normal Temperature
2025-08-14,10:50,Humidity Sensor,Living Room,56.97,%,Normal Humidity
2025-08-14,10:50,Humidity Sensor,Kitchen,56.25,%,Normal Humidity
2025-08-14,10:50,Humidity Sensor,Bedroom,56.07,%,Normal Humidity
2025-08-14,10:55,Temperature Sensor,Living Room,23.35,°C,Normal Temperature
2025-08-14,10:55,Temperature Sensor,Kitchen,22.58,°C,Normal Temperature
2025-08-14,10:55,Temperature Sensor,Bedroom,21.74,°C,High Temperature
2025-08-14,10:55,Humidity Sensor,Living Room,60.22,%,High Humidity
2025-08-14,10:55,Humidity Sensor,Kitchen,57.38,%,Normal Humidity
2025-08-14,10:55,Humidity Sensor,Bedroom,57.41,%,Normal Humidity
2025-08-14,11:00,Temperature Sensor,Living Room,24.64,°C,Normal Temperature
2025-08-14,11:00,Temperature Sensor,Kitchen,24.09,°C,Normal Temperature
2025-08-14,11:00,Temperature Sensor,Bedroom,22.85,°C,Normal Temperature
2025-08-14,11:00,Humidity Sensor,Living Room,67.56,%,High Humidity
2025-08-14,11:00,Humidity Sensor,Kitchen,67.31,%,High Humidity
2025-08-14,11:00,Humidity Sensor,Bedroom,67.54,%,High Humidity
2025-08-14,11:05,Temperature Sensor,Living Room,24.4,°C,Normal Temperature
2025-08-14,11:05,Temperature Sensor,Kitchen,25.08,°C,Normal Temperature
2025-08-14,11:05,Temperature Sensor,Bedroom,23.83,°C,Normal Temperature
2025-08-14,11:05,Humidity Sensor,Living Room,62.05,%,High Humidity
2025-08-14,11:05,Humidity Sensor,Kitchen,65.53,%,High Humidity
2025-08-14,11:05,Humidity Sensor,Bedroom,65.13,%,High Humidity
2025-08-14,11:10,Temperature Sensor,Living Room,23.1,°C,Normal Temperature
2025-08-14,11:10,Temperature Sensor,Kitchen,25.18,°C,Normal Temperature
2025-08-14,11:10,Temperature Sensor,Bedroom,24.91,°C,Normal Temperature
2025-08-14,11:10,Humidity Sensor,Living Room,65.6,%,High Humidity
2025-08-14,11:10,Humidity Sensor,Kitchen,63.34,%,High Humidity
2025-08-14,11:10,Humidity Sensor,Bedroom,66.09,%,High Humidity
2025-08-14,11:15,Temperature Sensor,Living Room,24.32,°C,Normal Temperature
2025-08-14,11:15,Temperature Sensor,Kitchen,22.98,°C,Normal Temperature
2025-08-14,11:15,Temperature Sensor,Bedroom,24.61,°C,Normal Temperature
2025-08-14,11:15,Humidity Sensor,Living Room,64.17,%,High Humidity
2025-08-14,11:15,Humidity Sensor,Kitchen,65.56,%,High Humidity
2025-08-14,11:15,Humidity Sensor,Bedroom,64.07,%,High Humidity
2025-08-14,11:20,Temperature Sensor,Living Room,23.32,°C,Normal Temperature
2025-08-14,11:20,Temperature Sensor,Kitchen,24.67,°C,Normal Temperature
2025-08-14,11:20,Temperature Sensor,Bedroom,25.06,°C,Normal Temperature
2025-08-14,11:20,Humidity Sensor,Living Room,67.41,%,High Humidity
2025-08-14,11:20,Humidity Sensor,Kitchen,65.76,%,High Humidity
2025-08-14,11:20,Humidity Sensor,Bedroom,62.98,%,High Humidity
2025-08-14,11:25,Temperature Sensor,Living Room,25.18,°C,Normal Temperature
2025-08-14,11:25,Temperature Sensor,Kitchen,22.91,°C,Normal Temperature
2025-08-14,11:25,Temperature Sensor,Bedroom,24.49,°C,Normal Temperature
2025-08-14,11:25,Humidity Sensor,Living Room,67.59,%,High Humidity
2025-08-14,11:25,Humidity Sensor,Kitchen,61.8,%,High Humidity
2025-08-14,11:25,Humidity Sensor,Bedroom,62.54,%,High Humidity
2025-08-14,11:30,Temperature Sensor,Living Room,24.41,°C,Normal Temperature
2025-08-14,11:30,Temperature Sensor,Kitchen,25.06,°C,Normal Temperature
2025-08-14,11:30,Temperature Sensor,Bedroom,23.94,°C,Normal Temperature
2025-08-14,11:30,Humidity Sensor,Living Room,63.38,%,High Humidity
2025-08-14,11:30,Humidity Sensor,Kitchen,67.74,%,High Humidity
2025-08-14,11:30,Humidity Sensor,Bedroom,65.0,%,High Humidity
2025-08-14,11:35,Temperature Sensor,Living Room,23.75,°C,Normal Temperature
2025-08-14,11:35,Temperature Sensor,Kitchen,22.89,°C,Normal Temperature
2025-08-14,11:35,Temperature Sensor,Bedroom,23.34,°C,Normal Temperature
2025-08-14,11:35,Humidity Sensor,Living Room,62.35,%,High Humidity
2025-08-14,11:35,Humidity Sensor,Kitchen,67.26,%,High Humidity
2025-08-14,11:35,Humidity Sensor,Bedroom,67.22,%,High Humidity
2025-08-14,11:40,Temperature Sensor,Living Room,24.14,°C,Normal Temperature
2025-08-14,11:40,Temperature Sensor,Kitchen,24.84,°C,Normal Temperature
2025-08-14,11:40,Temperature Sensor,Bedroom,24.43,°C,Normal Temperature
2025-08-14,11:40,Humidity Sensor,Living Room,65.79,%,High Humidity
2025-08-14,11:40,Humidity Sensor,Kitchen,63.95,%,High Humidity
2025-08-14,11:40,Humidity Sensor,Bedroom,63.81,%,High Humidity
2025-08-14,11:45,Temperature Sensor,Living Room,24.64,°C,Normal Temperature
2025-08-14,11:45,Temperature Sensor,Kitchen,23.36,°C,Normal Temperature
2025-08-14,11:45,Temperature Sensor,Bedroom,24.35,°C,Normal Temperature
2025-08-14,11:45,Humidity Sensor,Living Room,66.43,%,High Humidity
2025-08-14,11:45,Humidity Sensor,Kitchen,64.56,%,High Humidity
2025-08-14,11:45,Humidity Sensor,Bedroom,62.83,%,High Humidity
2025-08-14,11:50,Temperature Sensor,Living Room,23.14,°C,Normal Temperature
2025-08-14,11:50,Temperature Sensor,Kitchen,24.61,°C,Normal Temperature
2025-08-14,11:50,Temperature Sensor,Bedroom,23.54,°C,Normal Temperature
2025-08-14,11:50,Humidity Sensor,Living Room,62.6,%,High Humidity
2025-08-14,11:50,Humidity Sensor,Kitchen,63.99,%,High Humidity
2025-08-14,11:50,Humidity Sensor,Bedroom,63.42,%,High Humidity
2025-08-14,11:55,Temperature Sensor,Living Room,23.85,°C,Normal Temperature
2025-08-14,11:55,Temperature Sensor,Kitchen,23.49,°C,Normal Temperature
2025-08-14,11:55,Temperature Sensor,Bedroom,24.81,°C,Normal Temperature
2025-08-14,11:55,Humidity Sensor,Living Room,67.43,%,High Humidity
2025-08-14,11:55,Humidity Sensor,Kitchen,64.87,%,High Humidity
2025-08-14,11:55,Humidity Sensor,Bedroom,62.13,%,High Humidity
2025-08-14,12:00,Temperature Sensor,Living Room,24.59,°C,Normal Temperature
2025-08-14,12:00,Temperature Sensor,Kitchen,24.47,°C,Normal Temperature
2025-08-14,12:00,Temperature Sensor,Bedroom,25.09,°C,Normal Temperature
2025-08-14,12:00,Humidity Sensor,Living Room,68.7,%,High Humidity
2025-08-14,12:00,Humidity Sensor,Kitchen,73.1,%,High Humidity
2025-08-14,12:00,Humidity Sensor,Bedroom,71.38,%,High Humidity
2025-08-14,12:05,Temperature Sensor,Living Room,26.23,°C,Normal Temperature
2025-08-14,12:05,Temperature Sensor,Kitchen,25.94,°C,Normal Temperature
2025-08-14,12:05,Temperature Sensor,Bedroom,24.3,°C,Normal Temperature
2025-08-14,12:05,Humidity Sensor,Living Room,69.12,%,High Humidity
2025-08-14,12:05,Humidity Sensor,Kitchen,72.85,%,High Humidity
2025-08-14,12:05,Humidity Sensor,Bedroom,68.85,%,High Humidity
2025-08-14,12:10,Temperature Sensor,Living Room,24.46,°C,Normal Temperature
2025-08-14,12:10,Temperature Sensor,Kitchen,25.03,°C,Normal Temperature
2025-08-14,12:10,Temperature Sensor,Bedroom,24.43,°C,Normal Temperature
2025-08-14,12:10,Humidity Sensor,Living Room,68.69,%,High Humidity
2025-08-14,12:10,Humidity Sensor,Kitchen,69.32,%,High Humidity
2025-08-14,12:10,Humidity Sensor,Bedroom,68.21,%,High Humidity
2025-08-14,12:15,Temperature Sensor,Living Room,24.53,°C,Normal Temperature
2025-08-14,12:15,Temperature Sensor,Kitchen,24.0,°C,Normal Temperature
2025-08-14,12:15,Temperature Sensor,Bedroom,24.1,°C,Normal Temperature
2025-08-14,12:15,Humidity Sensor,Living Room,68.74,%,High Humidity
2025-08-14,12:15,Humidity Sensor,Kitchen,67.89,%,High Humidity
2025-08-14,12:15,Humidity Sensor,Bedroom,74.38,%,High Humidity
2025-08-14,12:20,Temperature Sensor,Living Room,25.5,°C,Normal Temperature
2025-08-14,12:20,Temperature Sensor,Kitchen,26.24,°C,Normal Temperature
2025-08-14,12:20,Temperature Sensor,Bedroom,24.06,°C,Normal Temperature
2025-08-14,12:20,Humidity Sensor,Living Room,74.17,%,High Humidity
2025-08-14,12:20,Humidity Sensor,Kitchen,67.67,%,High Humidity
2025-08-14,12:20,Humidity Sensor,Bedroom,67.74,%,High Humidity
2025-08-14,12:25,Temperature Sensor,Living Room,26.25,°C,Normal Temperature
2025-08-14,12:25,Temperature Sensor,Kitchen,24.56,°C,Normal Temperature
2025-08-14,12:25,Temperature Sensor,Bedroom,24.82,°C,Normal Temperature
2025-08-14,12:25,Humidity Sensor,Living Room,68.93,%,High Humidity
2025-08-14,12:25,Humidity Sensor,Kitchen,71.31,%,High Humidity
2025-08-14,12:25,Humidity Sensor,Bedroom,71.55,%,High Humidity
2025-08-14,12:30,Temperature Sensor,Living Room,25.93,°C,Normal Temperature
2025-08-14,12:30,Temperature Sensor,Kitchen,25.87,°C,Normal Temperature
2025-08-14,12:30,Temperature Sensor,Bedroom,24.57,°C,Normal Temperature
2025-08-14,12:30,Humidity Sensor,Living Room,70.39,%,High Humidity
2025-08-14,12:30,Humidity Sensor,Kitchen,68.87,%,High Humidity
2025-08-14,12:30,Humidity Sensor,Bedroom,70.94,%,High Humidity
2025-08-14,12:35,Temperature Sensor,Living Room,26.28,°C,Normal Temperature
2025-08-14,12:35,Temperature Sensor,Kitchen,25.53,°C,Normal Temperature
2025-08-14,12:35,Temperature Sensor,Bedroom,24.23,°C,Normal Temperature
2025-08-14,12:35,Humidity Sensor,Living Room,71.94,%,High Humidity
2025-08-14,12:35,Humidity Sensor,Kitchen,69.27,%,High Humidity
2025-08-14,12:35,Humidity Sensor,Bedroom,71.86,%,High Humidity
2025-08-14,12:40,Temperature Sensor,Living Room,25.53,°C,Normal Temperature
2025-08-14,12:40,Temperature Sensor,Kitchen,25.57,°C,Normal Temperature
2025-08-14,12:40,Temperature Sensor,Bedroom,25.82,°C,Normal Temperature
2025-08-14,12:40,Humidity Sensor,Living Room,68.99,%,High Humidity
2025-08-14,12:40,Humidity Sensor,Kitchen,72.86,%,High Humidity
2025-08-14,12:40,Humidity Sensor,Bedroom,68.09,%,High Humidity
2025-08-14,12:45,Temperature Sensor,Living Room,25.4,°C,Normal Temperature
2025-08-14,12:45,Temperature Sensor,Kitchen,25.91,°C,Normal Temperature
2025-08-14,12:45,Temperature Sensor,Bedroom,24.5,°C,Normal Temperature
2025-08-14,12:45,Humidity Sensor,Living Room,71.34,%,High Humidity
2025-08-14,12:45,Humidity Sensor,Kitchen,74.68,%,High Humidity
2025-08-14,12:45,Humidity Sensor,Bedroom,74.39,%,High Humidity
2025-08-14,12:50,Temperature Sensor,Living Room,25.48,°C,Normal Temperature
2025-08-14,12:50,Temperature Sensor,Kitchen,26.06,°C,Normal Temperature
2025-08-14,12:50,Temperature Sensor,Bedroom,24.08,°C,Normal Temperature
2025-08-14,12:50,Humidity Sensor,Living Room,72.42,%,High Humidity
2025-08-14,12:50,Humidity Sensor,Kitchen,73.25,%,High Humidity
2025-08-14,12:50,Humidity Sensor,Bedroom,70.73,%,High Humidity
2025-08-14,12:55,Temperature Sensor,Living Room,25.78,°C,Normal Temperature
2025-08-14,12:55,Temperature Sensor,Kitchen,24.28,°C,Normal Temperature
2025-08-14,12:55,Temperature Sensor,Bedroom,23.99,°C,Normal Temperature
2025-08-14,12:55,Humidity Sensor,Living Room,74.7,%,High Humidity
2025-08-14,12:55,Humidity Sensor,Kitchen,68.11,%,High Humidity
2025-08-14,12:55,Humidity Sensor,Bedroom,71.66,%,High Humidity
2025-08-14,13:00,Temperature Sensor,Living Room,26.99,°C,Normal Temperature
2025-08-14,13:00,Temperature Sensor,Kitchen,25.21,°C,Normal Temperature
2025-08-14,13:00,Temperature Sensor,Bedroom,25.05,°C,Normal Temperature
2025-08-14,13:00,Humidity Sensor,Living Room,78.77,%,High Humidity
2025-08-14,13:00,Humidity Sensor,Kitchen,72.29,%,High Humidity
2025-08-14,13:00,Humidity Sensor,Bedroom,75.26,%,High Humidity
2025-08-14,13:05,Temperature Sensor,Living Room,26.85,°C,Normal Temperature
2025-08-14,13:05,Temperature Sensor,Kitchen,25.1,°C,Normal Temperature
2025-08-14,13:05,Temperature Sensor,Bedroom,25.39,°C,Normal Temperature
2025-08-14,13:05,Humidity Sensor,Living Room,75.36,%,High Humidity
2025-08-14,13:05,Humidity Sensor,Kitchen,74.52,%,High Humidity
2025-08-14,13:05,Humidity Sensor,Bedroom,73.52,%,High Humidity
2025-08-14,13:10,Temperature Sensor,Living Room,24.89,°C,Normal Temperature
2025-08-14,13:10,Temperature Sensor,Kitchen,25.64,°C,Normal Temperature
2025-08-14,13:10,Temperature Sensor,Bedroom,27.0,°C,Normal Temperature
2025-08-14,13:10,Humidity Sensor,Living Room,75.84,%,High Humidity
2025-08-14,13:10,Humidity Sensor,Kitchen,76.42,%,High Humidity
2025-08-14,13:10,Humidity Sensor,Bedroom,79.21,%,High Humidity
2025-08-14,13:15,Temperature Sensor,Living Room,26.07,°C,Normal Temperature
2025-08-14,13:15,Temperature Sensor,Kitchen,27.0,°C,Normal Temperature
2025-08-14,13:15,Temperature Sensor,Bedroom,25.04,°C,Normal Temperature
2025-08-14,13:15,Humidity Sensor,Living Room,76.04,%,High Humidity
2025-08-14,13:15,Humidity Sensor,Kitchen,72.58,%,High Humidity
2025-08-14,13:15,Humidity Sensor,Bedroom,77.78,%,High Humidity
2025-08-14,13:20,Temperature Sensor,Living Room,25.56,°C,Normal Temperature
2025-08-14,13:20,Temperature Sensor,Kitchen,27.0,°C,Normal Temperature
2025-08-14,13:20,Temperature Sensor,Bedroom,26.81,°C,Normal Temperature
2025-08-14,13:20,Humidity Sensor,Living Room,73.78,%,High Humidity
2025-08-14,13:20,Humidity Sensor,Kitchen,76.36,%,High Humidity
2025-08-14,13:20,Humidity Sensor,Bedroom,76.37,%,High Humidity
2025-08-14,13:25,Temperature Sensor,Living Room,25.69,°C,Normal Temperature
2025-08-14,13:25,Temperature Sensor,Kitchen,26.18,°C,Normal Temperature
2025-08-14,13:25,Temperature Sensor,Bedroom,25.75,°C,Normal Temperature
2025-08-14,13:25,Humidity Sensor,Living Room,74.4,%,High Humidity
2025-08-14,13:25,Humidity Sensor,Kitchen,75.4,%,High Humidity
2025-08-14,13:25,Humidity Sensor,Bedroom,78.93,%,High Humidity
2025-08-14,13:30,Temperature Sensor,Living Room,27.0,°C,Normal Temperature
2025-08-14,13:30,Temperature Sensor,Kitchen,27.0,°C,Normal Temperature
2025-08-14,13:30,Temperature Sensor,Bedroom,25.21,°C,Normal Temperature
2025-08-14,13:30,Humidity Sensor,Living Room,76.12,%,High Humidity
2025-08-14,13:30,Humidity Sensor,Kitchen,73.23,%,High Humidity
2025-08-14,13:30,Humidity Sensor,Bedroom,76.66,%,High Humidity
2025-08-14,13:35,Temperature Sensor,Living Room,24.94,°C,Normal Temperature
2025-08-14,13:35,Temperature Sensor,Kitchen,25.22,°C,Normal Temperature
2025-08-14,13:35,Temperature Sensor,Bedroom,26.74,°C,Normal Temperature
2025-08-14,13:35,Humidity Sensor,Living Room,72.7,%,High Humidity
2025-08-14,13:35,Humidity Sensor,Kitchen,76.34,%,High Humidity
2025-08-14,13:35,Humidity Sensor,Bedroom,77.87,%,High Humidity
2025-08-14,13:40,Temperature Sensor,Living Room,27.0,°C,Normal Temperature
2025-08-14,13:40,Temperature Sensor,Kitchen,25.9,°C,Normal Temperature
2025-08-14,13:40,Temperature Sensor,Bedroom,25.27,°C,Normal Temperature
2025-08-14,13:40,Humidity Sensor,Living Room,72.49,%,High Humidity
2025-08-14,13:40,Humidity Sensor,Kitchen,74.21,%,High Humidity
2025-08-14,13:40,Humidity Sensor,Bedroom,74.17,%,High Humidity
2025-08-14,13:45,Temperature Sensor,Living Room,25.2,°C,Normal Temperature
2025-08-14,13:45,Temperature Sensor,Kitchen,26.51,°C,Normal Temperature
2025-08-14,13:45,Temperature Sensor,Bedroom,26.27,°C,Normal Temperature
2025-08-14,13:45,Humidity Sensor,Living Room,76.59,%,High Humidity
2025-08-14,13:45,Humidity Sensor,Kitchen,76.35,%,High Humidity
2025-08-14,13:45,Humidity Sensor,Bedroom,77.59,%,High Humidity
2025-08-14,13:50,Temperature Sensor,Living Room,25.1,°C,Normal Temperature
2025-08-14,13:50,Temperature Sensor,Kitchen,26.39,°C,Normal Temperature
2025-08-14,13:50,Temperature Sensor,Bedroom,27.0,°C,Normal Temperature
2025-08-14,13:50,Humidity Sensor,Living Room,74.69,%,High Humidity
2025-08-14,13:50,Humidity Sensor,Kitchen,74.51,%,High Humidity
2025-08-14,13:50,Humidity Sensor,Bedroom,73.23,%,High Humidity
